rute,nama_rute,bulan,jumlah
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-10,20126
Rute 13,Terminal Kalideres - Kamal,2014-10,15953
Rute 14,Terminal Kalideres - Duri Kosambi,2014-10,18841
Rute 15,Blok M - Ciledug,2014-10,0
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-10,9083
Rute 17,Cawang - Ragunan,2014-10,14797
Rute 18,Blok M - Pondok Labu,2014-10,0
Rute 19,Kalideres - Gajahmada,2014-10,18478
Rute 20,Pulogadung - Cikini,2014-10,14856
Rute 1,Lapangan Banteng  -  Perintis ,2014-11,15877
Rute 2,Pelumpang - Sunter - Kemayoran,2014-11,10912
Rute 3,TMII - Gandaria,2014-11,19931
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-11,15308
Rute 5,TMII - Terminal Kampung Melayu,2014-11,19346
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-11,8708
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-11,17053
Rute 8,Terminal Pasar Minggu - Manggarai,2014-11,5987
Rute 9,Cawang - PGC - Plumpang,2014-11,7742
Rute 10,Cilincing - Perintis ,2014-11,0
Rute 11,Pendok Gede - Condet - Rancho,2014-11,22297
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-11,17336
Rute 13,Terminal Kalideres - Kamal,2014-11,12745
Rute 14,Terminal Kalideres - Duri Kosambi,2014-11,16786
Rute 15,Blok M - Ciledug,2014-11,0
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-11,7746
Rute 17,Cawang - Ragunan,2014-11,12725
Rute 18,Blok M - Pondok Labu,2014-11,0
Rute 19,Kalideres - Gajahmada,2014-11,17560
Rute 20,Pulogadung - Cikini,2014-11,13660
Rute 1,Lapangan Banteng  -  Perintis ,2014-12,11495
Rute 2,Pelumpang - Sunter - Kemayoran,2014-12,7720
Rute 3,TMII - Gandaria,2014-12,16026
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-12,11592
Rute 5,TMII - Terminal Kampung Melayu,2014-12,14393
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-12,6029
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-12,12124
Rute 8,Terminal Pasar Minggu - Manggarai,2014-12,6668
Rute 9,Cawang - PGC - Plumpang,2014-12,5656
Rute 10,Cilincing - Perintis ,2014-12,0
Rute 11,Pendok Gede - Condet - Rancho,2014-12,15843
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-12,15062
Rute 13,Terminal Kalideres - Kamal,2014-12,8305
Rute 14,Terminal Kalideres - Duri Kosambi,2014-12,13449
Rute 15,Blok M - Ciledug,2014-12,0
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-12,6062
Rute 17,Cawang - Ragunan,2014-12,9095
Rute 18,Blok M - Pondok Labu,2014-12,0
Rute 19,Kalideres - Gajahmada,2014-12,10658
Rute 20,Pulogadung - Cikini,2014-12,9683
